Ontology, No. of modules ,Time ,HOMO ,HEMO ,rel. Size
BAO.owl,3,7.354,0.3333333333333333,0.0,0.0
BMONT.owl,1,4.464,0.5,0.0,0.0
ACVD_ONTOLOGY.owl,2,10.521,0.5,0.0,0.0
BKO.owl,2,4.615,0.5,0.0,0.0
BMT.owl,2,4.534,0.5,0.0,0.0
BIOMO.owl,2,10.521,0.5,0.0,0.0
BIODIVTHES.owl,2,10.52,0.5,0.0,0.0
BIPON.owl,6,4.957,0.3333333333333333,0.0,0.0
BIFO.owl,6,10.863,0.3333333333333333,0.0,0.0
BIRTHONTO.owl,1,5.097,0.5,0.0,0.0
BOF.owl,2,4.094,0.375,0.0,0.0
BMS-LM.owl,1,8.546,0.75,0.0,0.0
BHO.owl,1,14.518,0.75,0.0,0.0
BP-METADATA.owl,1,4.32,0.75,0.0,0.0
BHN.owl,1,14.518,0.75,0.0,0.0
AIO.owl,1,14.518,0.75,0.0,0.0
BSPO.owl,1,4.112,0.5,0.0,0.0
BRIDG.owl,7,4.95,0.32142857142857145,0.0,0.0
BPT.owl,0,6.521,NaN,NaN,NaN
BTO_ONTOLOGY.owl,2,4.097,0.625,0.0,0.0
BT.owl,2,4.228,0.625,0.0,0.0
CAO.owl,4,4.197,0.43749999999999994,0.0,0.0
CARELEX.owl,1,4.25,0.75,0.0,0.0
BP.owl,1,4.1290000000000004,0.75,0.0,0.0
BRAIN-COF.owl,2,10.196,0.375,0.0,0.0
BRCT.owl,1,5.377,0.5,0.0,0.0
CCTOO.owl,0,4.511,NaN,NaN,NaN
BSAO.owl,4,16.631,0.3292910447761194,0.25263157894736843,0.010637119113573408
CCON.owl,3,10.325000000000001,0.5,0.0,0.0
CDNO.owl,1,6.414,0.546438857364521,0.0,0.0
CHMO.owl,0,5.752,NaN,NaN,NaN
CHO.owl,0,4.456,NaN,NaN,NaN
CHIRO.owl,1,10.246,0.5,0.0,0.0
CIDOC-CRM.owl,2,4.765,0.625,0.0,0.0
CIINTEADO.owl,0,4.86,NaN,NaN,NaN
CLYH.owl,1,5.058,0.4352804342207289,0.0,0.0
CMDO.owl,2,8.11,0.2148496049201694,0.1595744680851064,0.003395201448619285
CMECS.owl,12,7.407,0.2791926331978299,0.29736530491415036,0.00422543950144441
CN.owl,5,10.002,0.45,0.0,0.0
CO-WHEAT.owl,0,4.135,NaN,NaN,NaN
CODO.owl,0,4.5840000000000005,NaN,NaN,NaN
CNO.owl,5,4.325,0.35000000000000003,0.0,NaN
CIDO.owl,11,93.979,0.36363636363636354,0.0,0.0
COGPO.owl,1,4.267,0.5241935483870968,0.0,0.0
COKPME.owl,5,4.5360000000000005,0.39999999999999997,0.0,0.0
COMET.owl,1,4.413,0.75,0.0,0.0
COLAO.owl,1,5.788,0.75,0.0,0.0
COGAT.owl,2,10.991,0.625,0.0,0.0
COID.owl,0,10.615,NaN,NaN,NaN
COMODI.owl,0,4.151,NaN,NaN,NaN
COHSI2TERMSWEEKX.owl,2,10.361,0.5,0.0,0.0
COPDO.owl,0,4.2170000000000005,NaN,NaN,NaN
COHSI2STUDY.owl,2,10.51,0.5,0.0,NaN
COVID-19-ONT-PM.owl,4,4.969,0.3125,0.0,0.0
COSTART.owl,4,6.346,0.3125,0.0,0.0
COVID19.owl,1,4.627,0.7530959752321982,0.0,0.0
COVIDCRFRAPID.owl,1,4.727,0.7530959752321982,0.0,0.0
COVID19-IBO.owl,1,4.787,0.7530959752321982,0.0,0.0
CRO.owl,2,4.187,0.5,0.0,0.0
CSO.owl,3,4.546,0.4166666666666667,0.0,0.0
CSSO.owl,1,4.601,0.75,0.0,0.0
CRENO.owl,3,25.032,0.5,0.0,0.0
CRISP.owl,1,25.855,0.75,0.0,0.0
CSEO.owl,9,19.663,0.2777777777777778,0.0,0.0
CTENO.owl,0,4.875,NaN,NaN,NaN
CTGO.owl,1,4.452,0.5,0.0,0.0
CTO-NDD.owl,1,4.981,0.5021929824561404,0.0,0.0
CTCAE.owl,0,17.56,NaN,NaN,NaN
CTO.owl,9,5.298,0.33333333333333337,0.0,NaN
CTX.owl,16,13.681000000000001,NaN,NaN,NaN
CTU_BEREADY_GEM.owl,1,15.513,0.75,0.0,0.0
CVAO.owl,3,10.097,0.5833333333333334,0.0,0.0
DATACITE-VOCAB.owl,1,4.636,0.75,0.0,0.0
CWD.owl,1,11.065,0.75,0.0,0.0
CVDO.owl,1,13.296000000000001,3.0,0.0,0.0
CU-VO.owl,1,19.952,0.7272727272727273,0.0,0.0
DCAT.owl,1,4.046,0.625,0.0,0.0
D3O.owl,1,10.965,0.5192307692307692,0.0,0.0
CYTO.owl,1,11.129,0.75,0.0,0.0
DATACITE.owl,1,4.372,0.5192307692307692,0.0,0.0
DCAT-FDC.owl,1,9.207,0.5735294117647058,0.0,0.0
DC.owl,1,13.457,0.5735294117647058,0.0,0.0
DCM.owl,0,5.859,NaN,NaN,NaN
DCAT3.owl,0,9.84,NaN,NaN,NaN
DCCDFV.owl,1,4.57,0.5735294117647058,0.0,NaN
DCMITYPE.owl,1,4.672,0.5735294117647058,0.0,NaN
DCT.owl,1,4.667,0.5735294117647058,0.0,NaN
DCO.owl,1,4.708,0.5735294117647058,0.0,NaN
DECIDE.owl,1,4.203,0.6973684210526316,0.0,0.0